Id,StreetName,Town,FacilityType,FacilityName,Program,ProgramSpecificId,Active
5984,TOWN HALL,DUNSTABLE,PUBLIC WATER SUPPLY SYSTEM,DUNSTABLE WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2081000,True
5985,424 EAST MAIN STREET,EAST BROOKFIELD,PUBLIC WATER SUPPLY SYSTEM,EAST BROOKFIELD WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2084000,True
5986,1200 RINDGE ROAD,FITCHBURG,PUBLIC WATER SUPPLY SYSTEM,FITCHBURG DPW  DIVISION OF WATER SUPPLY,WATER SUPPLY/DRINKING WATER,2097000,True
5987,99 HEYWOOD ST,GARDNER,PUBLIC WATER SUPPLY SYSTEM,GARDNER WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2103000,True
5988,44 MILLBURY ST,GRAFTON,PUBLIC WATER SUPPLY SYSTEM,GRAFTON WATER DISTRICT,WATER SUPPLY/DRINKING WATER,2110000,True
5989,370 PROVIDENCE ROAD,GRAFTON,PUBLIC WATER SUPPLY SYSTEM,SOUTH GRAFTON WATER DISTRICT,WATER SUPPLY/DRINKING WATER,2110001,True
5990,44 OLD UPTON RD,GRAFTON,PUBLIC WATER SUPPLY SYSTEM,SILVER SPRUCE MONTESSORI SCHOOL,WATER SUPPLY/DRINKING WATER,2110002,True
5991,173 MAIN ST,GROTON,PUBLIC WATER SUPPLY SYSTEM,GROTON WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2115000,True
5992,305 TOWNSEND RD,GROTON,PUBLIC WATER SUPPLY SYSTEM,WEST GROTON WATER SUPPLY DISTRICT,WATER SUPPLY/DRINKING WATER,2115001,True
5993,TOWN HALL RUGGLES HILL RD,HARDWICK,PUBLIC WATER SUPPLY SYSTEM,HARDWICK CENTER WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1124000,True
5994,PO BOX 97,HARDWICK,PUBLIC WATER SUPPLY SYSTEM,GILBERTVILLE WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1124001,True
5995,CHURCH LANE,HARDWICK,PUBLIC WATER SUPPLY SYSTEM,WHEELWRIGHT WATER DISTRICT,WATER SUPPLY/DRINKING WATER,1124002,True
5996,242 OLD PETERSHAM ROAD,HARDWICK,PUBLIC WATER SUPPLY SYSTEM,EAGLE HILL SCHOOL,WATER SUPPLY/DRINKING WATER,1124003,True
5997,47 DEPOT ROAD,HARVARD,PUBLIC WATER SUPPLY SYSTEM,HARVARD WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2125000,True
5998,18 INDUSTRIAL DR,HOLDEN,PUBLIC WATER SUPPLY SYSTEM,"HOLDEN WATER DIVISION, DPW",WATER SUPPLY/DRINKING WATER,2134000,True
6000,703 WASHINGTON STREET,HOLLISTON,PUBLIC WATER SUPPLY SYSTEM,HOLLISTON WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2136000,True
6001,78 HOPEDALE STEET,HOPEDALE,PUBLIC WATER SUPPLY SYSTEM,HOPEDALE WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2138000,True
6002,83 WOOD ST,HOPKINTON,PUBLIC WATER SUPPLY SYSTEM,HOPKINTON WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2139000,True
6003,1 OLD PRINCETON RD CUTOFF,HUBBARDSTON,PUBLIC WATER SUPPLY SYSTEM,HUBBARDSTON HOUSE APARTMENTS,WATER SUPPLY/DRINKING WATER,2140010,True
6004,1 MUNICIPAL DR,HUDSON,PUBLIC WATER SUPPLY SYSTEM,HUDSON WATER SUPPLY,WATER SUPPLY/DRINKING WATER,2141000,True
6005,392 MILL STREET EXT,LANCASTER,PUBLIC WATER SUPPLY SYSTEM,LANCASTER WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2147000,True
6006,124 PINE ST,LEICESTER,PUBLIC WATER SUPPLY SYSTEM,LEICESTER WATER SUPPLY DISTRICT,WATER SUPPLY/DRINKING WATER,2151000,True
6007,148 HENSHAW ST,LEICESTER,PUBLIC WATER SUPPLY SYSTEM,CHERRY VALLEY/ ROCHDALE WATER DISTRICT,WATER SUPPLY/DRINKING WATER,2151001,True
6008,124 PINE STREET,LEICESTER,PUBLIC WATER SUPPLY SYSTEM,HILLCREST WATER DISTRICT,WATER SUPPLY/DRINKING WATER,2151002,True
